datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
2005-01-01 12:00:00+00:00,Cariri,147.7,95.3,-35.5
2005-01-01 12:00:00+00:00,Ibiapaba,109.5,109.8,0.3
2005-01-01 12:00:00+00:00,Jaguaribana,84.7,14.8,-82.5
2005-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,12.1,-87.4
2005-01-01 12:00:00+00:00,Litoral De Pecem,87.5,26.5,-69.7
2005-01-01 12:00:00+00:00,Litoral Norte,111.0,33.5,-69.8
2005-01-01 12:00:00+00:00,Macico De Baturite,96.9,21.6,-77.7
2005-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,78.5,-10.4
2005-02-01 12:00:00+00:00,Cariri,157.7,56.4,-64.2
2005-02-01 12:00:00+00:00,Ibiapaba,136.6,66.6,-51.3
2005-02-01 12:00:00+00:00,Jaguaribana,105.7,50.5,-52.2
2005-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,62.5,-53.2
2005-02-01 12:00:00+00:00,Litoral De Pecem,122.9,49.6,-59.6
2005-02-01 12:00:00+00:00,Litoral Norte,152.4,100.2,-34.3
2005-02-01 12:00:00+00:00,Macico De Baturite,116.8,51.5,-55.9
2005-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,31.1,-68.2
2005-03-01 12:00:00+00:00,Cariri,216.3,271.1,25.3
2005-03-01 12:00:00+00:00,Ibiapaba,230.5,217.2,-5.8
2005-03-01 12:00:00+00:00,Jaguaribana,189.5,191.9,1.2
2005-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,184.6,-26.4
2005-03-01 12:00:00+00:00,Litoral De Pecem,231.5,135.0,-41.7
2005-03-01 12:00:00+00:00,Litoral Norte,264.2,186.0,-29.6
2005-03-01 12:00:00+00:00,Macico De Baturite,209.5,129.5,-38.2
2005-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,188.7,9.8
2005-04-01 12:00:00+00:00,Cariri,178.5,70.0,-60.8
2005-04-01 12:00:00+00:00,Ibiapaba,208.0,101.5,-51.2
2005-04-01 12:00:00+00:00,Jaguaribana,184.2,81.5,-55.7
2005-04-01 12:00:00+00:00,Litoral De Fortaleza,263.3,144.0,-45.3
2005-04-01 12:00:00+00:00,Litoral De Pecem,210.0,137.3,-34.6
2005-04-01 12:00:00+00:00,Litoral Norte,240.2,161.8,-32.6
2005-04-01 12:00:00+00:00,Macico De Baturite,222.5,204.1,-8.3
2005-04-01 12:00:00+00:00,Sertao Central E Inhamuns,157.7,63.8,-59.6
2005-05-01 12:00:00+00:00,Cariri,64.1,57.0,-11.1
2005-05-01 12:00:00+00:00,Ibiapaba,97.0,101.6,4.8
2005-05-01 12:00:00+00:00,Jaguaribana,100.6,107.3,6.6
2005-05-01 12:00:00+00:00,Litoral De Fortaleza,148.9,215.5,44.8
2005-05-01 12:00:00+00:00,Litoral De Pecem,112.0,143.4,28.0
2005-05-01 12:00:00+00:00,Litoral Norte,121.5,106.2,-12.6
2005-05-01 12:00:00+00:00,Macico De Baturite,136.6,229.6,68.1
2005-05-01 12:00:00+00:00,Sertao Central E Inhamuns,70.0,88.2,26.1
2005-06-01 12:00:00+00:00,Cariri,20.1,16.6,-17.2
2005-06-01 12:00:00+00:00,Ibiapaba,32.8,23.8,-27.4
2005-06-01 12:00:00+00:00,Jaguaribana,43.2,46.7,8.1
2005-06-01 12:00:00+00:00,Litoral De Fortaleza,89.0,115.5,29.9
2005-06-01 12:00:00+00:00,Litoral De Pecem,53.6,70.7,32.0
2005-06-01 12:00:00+00:00,Litoral Norte,37.3,29.9,-19.7
2005-06-01 12:00:00+00:00,Macico De Baturite,81.6,151.3,85.3
2005-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.0,32.9,13.7
2005-07-01 12:00:00+00:00,Cariri,10.4,2.0,-80.7
2005-07-01 12:00:00+00:00,Ibiapaba,12.0,1.4,-88.1
2005-07-01 12:00:00+00:00,Jaguaribana,18.1,3.7,-79.7
2005-07-01 12:00:00+00:00,Litoral De Fortaleza,33.1,11.8,-64.5
2005-07-01 12:00:00+00:00,Litoral De Pecem,21.8,6.2,-71.7
2005-07-01 12:00:00+00:00,Litoral Norte,11.6,6.6,-43.4
2005-07-01 12:00:00+00:00,Macico De Baturite,33.9,9.8,-71.2
2005-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,6.4,-50.5
2005-08-01 12:00:00+00:00,Cariri,3.4,1.9,-43.8
2005-08-01 12:00:00+00:00,Ibiapaba,2.7,0.1,-95.6
2005-08-01 12:00:00+00:00,Jaguaribana,6.7,0.9,-87.3
2005-08-01 12:00:00+00:00,Litoral De Fortaleza,10.0,0.9,-91.2
2005-08-01 12:00:00+00:00,Litoral De Pecem,4.2,1.5,-65.2
2005-08-01 12:00:00+00:00,Litoral Norte,2.2,0.0,-100.0
2005-08-01 12:00:00+00:00,Macico De Baturite,12.9,0.5,-96.1
2005-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.8,2.0,-58.7
2005-09-01 12:00:00+00:00,Cariri,5.6,0.5,-90.3
2005-09-01 12:00:00+00:00,Ibiapaba,1.1,0.0,-100.0
2005-09-01 12:00:00+00:00,Jaguaribana,1.4,0.0,-100.0
2005-09-01 12:00:00+00:00,Litoral De Fortaleza,5.8,0.1,-98.3
2005-09-01 12:00:00+00:00,Litoral De Pecem,1.8,0.0,-100.0
2005-09-01 12:00:00+00:00,Litoral Norte,0.5,0.0,-100.0
2005-09-01 12:00:00+00:00,Macico De Baturite,4.5,0.4,-90.8
