,datahora,t_1,t_10,t_100,t_120,t_13,t_140,t_180,t_20,t_300,t_40,t_5,t_500,t_60,t_80
0,1998-02-02 12:00:00+00:00,29.33,-99999.0,16.24,15.38,-99999.0,14.88,14.55,29.26,9.6,24.07,-99999.0,7.08,20.69,18.54
1,1998-02-03 12:00:00+00:00,29.36,-99999.0,15.73,15.21,-99999.0,14.84,14.5,29.31,9.64,24.04,-99999.0,7.04,19.61,17.89
2,1998-02-04 12:00:00+00:00,29.42,-99999.0,15.53,15.11,-99999.0,14.87,14.49,29.35,9.66,22.92,-99999.0,6.9,18.88,16.54
3,1998-02-05 12:00:00+00:00,29.46,-99999.0,15.36,14.96,-99999.0,-99999.0,14.49,29.43,9.69,22.46,-99999.0,6.74,18.82,16.03
4,1998-02-06 12:00:00+00:00,29.52,-99999.0,15.38,14.9,-99999.0,-99999.0,14.51,29.5,9.87,23.97,-99999.0,6.72,18.81,16.41
5,1998-02-07 12:00:00+00:00,29.64,-99999.0,15.7,15.0,-99999.0,-99999.0,14.53,29.62,10.46,24.09,-99999.0,6.83,18.92,17.22
6,1998-02-08 12:00:00+00:00,29.69,-99999.0,15.7,15.09,-99999.0,-99999.0,14.5,28.98,9.94,24.16,-99999.0,6.94,19.28,17.6
7,1998-02-09 12:00:00+00:00,29.61,-99999.0,15.75,15.12,-99999.0,-99999.0,14.5,26.58,10.02,23.17,-99999.0,7.09,19.48,17.21
8,1998-02-10 12:00:00+00:00,29.56,-99999.0,15.63,15.12,-99999.0,-99999.0,14.5,28.18,10.02,23.17,-99999.0,6.97,18.89,16.89
9,1998-02-11 12:00:00+00:00,29.6,-99999.0,15.71,15.06,-99999.0,-99999.0,14.5,29.49,9.96,23.41,-99999.0,6.9,20.19,16.98
10,1998-02-12 12:00:00+00:00,29.76,-99999.0,16.64,15.31,-99999.0,-99999.0,14.52,29.63,10.1,23.94,-99999.0,6.95,21.0,17.59
11,1998-02-13 12:00:00+00:00,29.99,-99999.0,16.41,15.17,-99999.0,-99999.0,14.47,29.71,9.71,25.01,-99999.0,6.89,21.55,17.51
12,1998-02-14 12:00:00+00:00,29.75,-99999.0,16.28,15.09,-99999.0,-99999.0,14.47,29.71,9.84,24.32,-99999.0,7.0,20.53,17.26
13,1998-02-15 12:00:00+00:00,29.79,-99999.0,15.95,14.93,-99999.0,-99999.0,14.49,29.79,9.88,23.59,-99999.0,7.11,19.53,16.98
14,1998-02-16 12:00:00+00:00,29.81,-99999.0,15.82,15.03,-99999.0,-99999.0,14.52,29.79,10.02,23.01,-99999.0,7.18,18.92,16.85
15,1998-02-17 12:00:00+00:00,29.98,-99999.0,15.71,15.08,-99999.0,-99999.0,14.53,29.86,10.11,22.85,-99999.0,7.03,18.57,16.64
16,1998-02-18 12:00:00+00:00,29.96,-99999.0,15.69,15.08,-99999.0,-99999.0,14.53,29.88,10.05,23.68,-99999.0,6.93,18.78,16.71
17,1998-02-19 12:00:00+00:00,29.94,-99999.0,15.72,15.17,-99999.0,-99999.0,14.54,29.91,10.12,24.36,-99999.0,6.8,18.78,16.65
18,1998-02-20 12:00:00+00:00,29.9,-99999.0,15.9,15.27,-99999.0,-99999.0,14.53,29.6,10.17,24.45,-99999.0,6.93,19.83,16.79
19,1998-02-21 12:00:00+00:00,29.92,-99999.0,16.14,15.29,-99999.0,-99999.0,14.5,29.86,10.05,24.32,-99999.0,6.83,20.04,17.39
20,1998-02-22 12:00:00+00:00,29.8,-99999.0,16.5,15.39,-99999.0,-99999.0,14.48,29.82,10.05,24.52,-99999.0,6.65,19.67,18.18
21,1998-02-23 12:00:00+00:00,29.83,-99999.0,16.38,15.18,-99999.0,-99999.0,14.45,29.72,9.7,24.88,-99999.0,6.64,19.92,18.24
22,1998-02-24 12:00:00+00:00,29.8,-99999.0,15.91,14.99,-99999.0,-99999.0,14.45,29.77,9.85,23.45,-99999.0,6.7,19.6,16.89
23,1998-02-25 12:00:00+00:00,29.75,-99999.0,15.36,14.85,-99999.0,-99999.0,14.42,29.76,10.02,22.18,-99999.0,6.93,18.13,16.28
24,1998-02-26 12:00:00+00:00,29.79,-99999.0,15.22,14.8,-99999.0,-99999.0,14.43,29.71,10.03,22.5,-99999.0,7.11,17.52,16.13
25,1998-02-27 12:00:00+00:00,29.86,-99999.0,15.31,14.84,-99999.0,-99999.0,14.42,29.77,10.36,23.07,-99999.0,7.2,17.38,16.04
26,1998-02-28 12:00:00+00:00,29.91,-99999.0,15.95,15.35,-99999.0,-99999.0,14.52,29.84,10.47,23.87,-99999.0,7.19,18.98,16.79
27,1998-03-01 12:00:00+00:00,29.91,-99999.0,16.42,-99999.0,-99999.0,-99999.0,14.59,-99999.0,10.23,23.45,-99999.0,6.87,18.83,-99999.0
28,1998-03-02 12:00:00+00:00,29.91,-99999.0,16.38,-99999.0,-99999.0,-99999.0,14.49,-99999.0,9.94,23.46,-99999.0,6.63,18.66,-99999.0
29,1998-03-03 12:00:00+00:00,29.92,-99999.0,16.47,-99999.0,-99999.0,-99999.0,14.47,-99999.0,9.6,23.17,-99999.0,6.51,19.45,-99999.0
30,1998-03-04 12:00:00+00:00,29.96,-99999.0,16.57,-99999.0,-99999.0,-99999.0,14.43,-99999.0,9.83,22.85,-99999.0,6.44,20.14,-99999.0
31,1998-03-05 12:00:00+00:00,29.88,-99999.0,16.21,-99999.0,-99999.0,-99999.0,14.39,-99999.0,9.95,22.81,-99999.0,6.61,20.83,-99999.0
32,1998-03-06 12:00:00+00:00,29.94,-99999.0,15.92,-99999.0,-99999.0,-99999.0,14.37,-99999.0,10.17,22.25,-99999.0,6.66,21.0,-99999.0
33,1998-03-07 12:00:00+00:00,30.05,-99999.0,15.99,-99999.0,-99999.0,-99999.0,14.46,-99999.0,10.45,22.53,-99999.0,7.1,21.18,-99999.0
34,1998-03-08 12:00:00+00:00,30.04,-99999.0,15.63,-99999.0,-99999.0,-99999.0,14.48,-99999.0,10.22,22.76,-99999.0,7.2,19.5,-99999.0
35,1998-03-09 12:00:00+00:00,30.14,-99999.0,15.55,-99999.0,-99999.0,-99999.0,14.44,-99999.0,9.98,23.14,-99999.0,6.98,20.22,-99999.0
36,1998-03-10 12:00:00+00:00,30.19,-99999.0,15.67,-99999.0,-99999.0,-99999.0,14.38,-99999.0,10.01,23.59,-99999.0,6.83,21.24,-99999.0
37,1998-03-11 12:00:00+00:00,30.03,-99999.0,15.89,-99999.0,-99999.0,-99999.0,14.34,-99999.0,10.06,24.02,-99999.0,6.88,21.41,-99999.0
38,1998-03-12 12:00:00+00:00,29.95,-99999.0,15.65,-99999.0,-99999.0,-99999.0,14.24,-99999.0,10.03,24.22,-99999.0,6.96,19.89,-99999.0
39,1998-03-13 12:00:00+00:00,29.95,-99999.0,15.68,-99999.0,-99999.0,-99999.0,14.29,-99999.0,10.03,24.09,-99999.0,7.09,19.66,-99999.0
40,1998-03-14 12:00:00+00:00,29.95,-99999.0,15.56,-99999.0,-99999.0,-99999.0,14.5,-99999.0,10.31,23.33,-99999.0,7.19,19.27,-99999.0
41,1998-03-15 12:00:00+00:00,29.95,-99999.0,15.39,-99999.0,-99999.0,-99999.0,14.51,-99999.0,10.45,23.17,-99999.0,7.21,18.52,-99999.0
42,1998-03-16 12:00:00+00:00,30.21,-99999.0,15.75,-99999.0,-99999.0,-99999.0,14.59,-99999.0,10.53,24.28,-99999.0,7.12,19.75,-99999.0
43,1998-03-17 12:00:00+00:00,30.19,-99999.0,16.64,-99999.0,-99999.0,-99999.0,14.55,-99999.0,10.29,24.38,-99999.0,6.87,20.1,-99999.0
44,1998-03-18 12:00:00+00:00,30.25,-99999.0,16.56,-99999.0,-99999.0,-99999.0,14.49,-99999.0,10.07,23.76,-99999.0,6.59,19.02,-99999.0
45,1998-03-19 12:00:00+00:00,30.21,-99999.0,16.46,-99999.0,-99999.0,-99999.0,14.46,-99999.0,10.14,22.64,-99999.0,6.58,19.18,-99999.0
46,1998-03-20 12:00:00+00:00,30.22,-99999.0,16.48,-99999.0,-99999.0,-99999.0,14.42,-99999.0,10.22,21.34,-99999.0,7.0,19.0,-99999.0
47,1998-03-21 12:00:00+00:00,30.27,-99999.0,16.73,-99999.0,-99999.0,-99999.0,14.44,-99999.0,10.21,21.5,-99999.0,7.13,18.66,-99999.0
