,datahora,t_1,t_10,t_100,t_120,t_13,t_140,t_180,t_20,t_300,t_40,t_5,t_500,t_60,t_80
0,1998-01-28 12:00:00+00:00,24.53,-99999.0,22.89,21.11,-99999.0,19.29,17.59,24.57,13.7,24.9,-99999.0,9.52,25.08,24.84
1,1998-01-29 12:00:00+00:00,24.54,-99999.0,23.2,21.27,-99999.0,19.35,17.46,24.56,13.78,24.88,-99999.0,9.45,25.05,24.85
2,1998-01-30 12:00:00+00:00,24.53,-99999.0,23.52,21.15,-99999.0,19.35,17.46,24.56,13.67,24.88,-99999.0,9.53,24.95,24.84
3,1998-01-31 12:00:00+00:00,24.59,-99999.0,23.69,21.12,-99999.0,19.54,17.12,24.65,13.65,24.87,-99999.0,9.38,24.92,25.01
4,1998-02-01 12:00:00+00:00,24.64,-99999.0,23.64,21.36,-99999.0,19.23,17.16,24.81,13.46,24.8,-99999.0,9.44,24.94,24.95
5,1998-02-02 12:00:00+00:00,24.66,-99999.0,23.45,20.98,-99999.0,18.91,17.1,24.74,13.37,24.76,-99999.0,9.5,24.79,24.77
6,1998-02-03 12:00:00+00:00,24.74,-99999.0,23.53,21.04,-99999.0,18.83,16.8,24.76,13.3,24.73,-99999.0,9.5,24.83,24.83
7,1998-02-04 12:00:00+00:00,24.8,-99999.0,23.76,21.25,-99999.0,18.64,16.36,24.74,13.15,24.82,-99999.0,9.61,24.87,24.87
8,1998-02-05 12:00:00+00:00,25.03,-99999.0,23.59,20.98,-99999.0,18.65,16.32,24.77,13.19,24.79,-99999.0,9.64,24.83,24.77
9,1998-02-06 12:00:00+00:00,25.08,-99999.0,23.6,20.62,-99999.0,18.69,16.15,24.81,13.23,24.8,-99999.0,9.56,24.9,24.99
10,1998-02-07 12:00:00+00:00,24.98,-99999.0,24.07,20.61,-99999.0,18.64,16.3,24.83,13.19,24.83,-99999.0,9.64,24.93,25.01
11,1998-02-08 12:00:00+00:00,24.98,-99999.0,24.17,21.04,-99999.0,18.8,16.33,24.88,13.11,24.79,-99999.0,9.58,24.99,25.05
12,1998-02-09 12:00:00+00:00,25.06,-99999.0,24.12,21.17,-99999.0,18.74,16.29,24.93,13.28,24.81,-99999.0,9.41,24.96,24.98
13,1998-02-10 12:00:00+00:00,25.37,-99999.0,24.1,21.29,-99999.0,18.67,16.27,24.9,13.12,24.89,-99999.0,9.25,24.98,24.97
14,1998-02-11 12:00:00+00:00,25.44,-99999.0,24.11,21.66,-99999.0,19.52,16.47,24.82,13.2,25.16,-99999.0,9.09,25.14,25.06
15,1998-02-12 12:00:00+00:00,25.39,-99999.0,23.83,21.94,-99999.0,20.02,16.51,24.79,13.15,25.03,-99999.0,9.42,25.1,25.04
16,1998-02-13 12:00:00+00:00,25.12,-99999.0,23.61,22.03,-99999.0,20.13,16.8,24.88,13.08,24.82,-99999.0,9.48,25.11,25.02
17,1998-02-14 12:00:00+00:00,24.98,-99999.0,23.41,21.87,-99999.0,20.22,17.0,25.0,13.32,24.77,-99999.0,9.56,24.88,24.99
18,1998-02-15 12:00:00+00:00,25.01,-99999.0,23.14,21.75,-99999.0,20.52,17.48,25.0,13.25,24.75,-99999.0,9.49,24.78,24.79
19,1998-02-16 12:00:00+00:00,25.01,-99999.0,23.39,21.91,-99999.0,20.58,17.69,25.03,13.25,24.76,-99999.0,9.51,24.89,24.62
20,1998-02-17 12:00:00+00:00,25.07,-99999.0,23.63,21.99,-99999.0,20.64,17.85,25.09,13.67,24.91,-99999.0,9.47,24.9,24.62
21,1998-02-18 12:00:00+00:00,25.14,-99999.0,24.04,22.11,-99999.0,20.71,17.97,25.11,13.75,24.98,-99999.0,9.55,24.78,24.68
22,1998-02-19 12:00:00+00:00,25.18,-99999.0,24.11,22.41,-99999.0,20.73,18.29,25.14,13.96,24.99,-99999.0,9.81,24.82,24.66
23,1998-02-20 12:00:00+00:00,25.19,-99999.0,24.23,22.39,-99999.0,20.8,18.0,25.17,14.03,24.99,-99999.0,9.79,24.78,24.61
24,1998-02-21 12:00:00+00:00,25.09,-99999.0,24.31,22.59,-99999.0,20.79,17.83,25.11,14.15,24.95,-99999.0,9.77,24.76,24.61
25,1998-02-22 12:00:00+00:00,24.99,-99999.0,24.43,22.56,-99999.0,20.72,17.76,25.01,14.14,24.91,-99999.0,9.79,24.73,24.61
26,1998-02-23 12:00:00+00:00,25.08,-99999.0,24.25,22.7,-99999.0,20.64,17.71,25.01,14.18,24.9,-99999.0,9.85,24.77,24.61
27,1998-02-24 12:00:00+00:00,25.12,-99999.0,24.06,22.59,-99999.0,20.8,17.82,24.99,14.07,24.92,-99999.0,9.95,24.84,24.62
28,1998-02-25 12:00:00+00:00,25.19,-99999.0,24.11,22.79,-99999.0,20.73,17.84,25.06,-99999.0,24.93,-99999.0,9.92,24.99,24.66
29,1998-02-26 12:00:00+00:00,25.14,-99999.0,23.95,22.53,-99999.0,20.83,17.84,25.06,-99999.0,24.93,-99999.0,10.11,25.0,24.69
30,1998-02-27 12:00:00+00:00,25.05,-99999.0,23.97,22.48,-99999.0,20.75,17.96,25.07,13.91,24.96,-99999.0,10.28,25.09,24.7
31,1998-02-28 12:00:00+00:00,25.04,-99999.0,23.93,22.54,-99999.0,20.82,17.76,25.05,14.03,25.13,-99999.0,10.32,25.12,24.75
32,1998-03-01 12:00:00+00:00,25.06,-99999.0,24.05,22.49,-99999.0,21.01,18.04,25.06,14.01,25.03,-99999.0,10.34,25.05,24.7
33,1998-03-02 12:00:00+00:00,25.08,-99999.0,23.89,22.52,-99999.0,20.97,17.83,25.03,14.0,24.95,-99999.0,10.35,24.86,24.7
34,1998-03-03 12:00:00+00:00,25.03,-99999.0,24.14,22.36,-99999.0,21.07,17.92,25.06,13.98,24.91,-99999.0,10.37,24.82,24.76
35,1998-03-04 12:00:00+00:00,25.02,-99999.0,23.89,22.43,-99999.0,21.02,18.08,25.05,13.84,24.94,-99999.0,10.39,24.85,24.75
36,1998-03-05 12:00:00+00:00,25.01,-99999.0,23.83,22.21,-99999.0,20.91,17.99,25.03,13.79,24.91,-99999.0,10.32,24.89,24.76
37,1998-03-06 12:00:00+00:00,25.05,-99999.0,23.86,22.31,-99999.0,20.8,18.28,25.07,13.82,24.97,-99999.0,10.18,24.91,24.79
38,1998-03-07 12:00:00+00:00,25.06,-99999.0,23.71,22.04,-99999.0,20.98,18.28,25.07,13.73,24.98,-99999.0,10.1,24.92,24.84
39,1998-03-08 12:00:00+00:00,25.08,-99999.0,24.2,22.17,-99999.0,20.86,18.32,25.08,13.89,24.98,-99999.0,10.14,24.89,24.84
40,1998-03-09 12:00:00+00:00,25.14,-99999.0,24.03,21.72,-99999.0,20.83,18.28,25.11,13.81,25.03,-99999.0,10.05,24.91,24.85
41,1998-03-10 12:00:00+00:00,25.11,-99999.0,24.42,22.07,-99999.0,20.9,18.29,25.12,13.79,25.05,-99999.0,10.06,25.0,24.94
42,1998-03-11 12:00:00+00:00,25.11,-99999.0,24.29,21.98,-99999.0,20.96,18.05,25.12,13.98,25.08,-99999.0,9.98,24.97,24.86
43,1998-03-12 12:00:00+00:00,25.1,-99999.0,24.35,22.15,-99999.0,20.77,18.19,25.13,13.84,25.12,-99999.0,10.0,25.08,24.88
44,1998-03-13 12:00:00+00:00,25.09,-99999.0,24.42,22.01,-99999.0,20.82,17.76,25.12,14.04,25.12,-99999.0,10.01,25.1,24.84
45,1998-03-14 12:00:00+00:00,25.08,-99999.0,24.44,22.31,-99999.0,20.19,18.05,25.12,14.07,25.12,-99999.0,10.02,25.06,24.89
46,1998-03-15 12:00:00+00:00,25.09,-99999.0,24.48,22.59,-99999.0,20.33,17.62,25.12,14.19,25.1,-99999.0,10.05,25.0,24.84
47,1998-03-16 12:00:00+00:00,25.14,-99999.0,24.57,22.77,-99999.0,20.34,17.89,25.15,14.09,25.12,-99999.0,10.03,24.95,24.87
48,1998-03-17 12:00:00+00:00,25.13,-99999.0,24.61,23.04,-99999.0,20.7,17.85,25.15,14.15,25.11,-99999.0,10.0,24.93,24.86
49,1998-03-18 12:00:00+00:00,25.19,-99999.0,24.76,23.15,-99999.0,20.51,17.77,25.16,14.15,25.11,-99999.0,9.94,24.94,24.86
50,1998-03-19 12:00:00+00:00,25.19,-99999.0,24.73,23.16,-99999.0,20.94,17.62,25.18,14.14,25.13,-99999.0,9.91,24.96,24.87
51,1998-03-20 12:00:00+00:00,25.2,-99999.0,24.71,23.02,-99999.0,20.69,17.81,25.18,14.12,25.14,-99999.0,9.94,24.94,24.86
52,1998-03-21 12:00:00+00:00,25.17,-99999.0,24.74,23.3,-99999.0,20.97,17.84,25.19,14.06,25.17,-99999.0,9.92,24.96,24.87
53,1998-03-22 12:00:00+00:00,25.1,-99999.0,24.79,23.06,-99999.0,20.85,18.01,25.14,14.09,25.13,-99999.0,9.93,24.96,24.87
54,1998-03-23 12:00:00+00:00,25.05,-99999.0,24.77,23.24,-99999.0,21.19,18.13,25.09,-99999.0,25.11,-99999.0,9.94,24.99,24.86
55,1998-03-24 12:00:00+00:00,25.0,-99999.0,24.74,22.98,-99999.0,21.08,18.3,25.03,14.19,25.04,-99999.0,9.95,24.97,24.87
56,1998-03-25 12:00:00+00:00,24.94,-99999.0,24.57,23.04,-99999.0,21.18,17.91,24.97,-99999.0,25.0,-99999.0,9.96,24.97,24.87
57,1998-03-26 12:00:00+00:00,24.93,-99999.0,24.34,22.92,-99999.0,21.27,18.2,24.93,-99999.0,24.92,-99999.0,10.01,25.01,24.88
58,1998-03-27 12:00:00+00:00,24.88,-99999.0,24.17,22.72,-99999.0,20.95,17.93,24.9,-99999.0,24.89,-99999.0,9.81,25.0,24.84
59,1998-03-28 12:00:00+00:00,24.96,-99999.0,24.0,22.6,-99999.0,20.94,17.84,24.93,-99999.0,24.91,-99999.0,9.74,25.07,24.81
60,1998-03-29 12:00:00+00:00,24.96,-99999.0,24.17,22.63,-99999.0,20.94,17.83,24.95,-99999.0,24.91,-99999.0,9.81,24.93,24.78
61,1998-03-30 12:00:00+00:00,24.94,-99999.0,24.06,22.38,-99999.0,20.57,17.67,24.95,-99999.0,24.92,-99999.0,9.82,24.94,24.76
62,1998-03-31 12:00:00+00:00,24.95,-99999.0,24.03,22.41,-99999.0,20.74,17.93,24.96,-99999.0,24.93,-99999.0,9.9,24.96,24.76
63,1998-04-01 12:00:00+00:00,24.93,-99999.0,24.03,22.04,-99999.0,20.57,17.7,24.96,-99999.0,24.93,-99999.0,9.82,24.95,24.75
64,1998-04-02 12:00:00+00:00,25.0,-99999.0,23.88,21.71,-99999.0,20.42,17.67,25.02,-99999.0,24.99,-99999.0,9.81,24.97,24.72
65,1998-04-03 12:00:00+00:00,25.0,-99999.0,23.41,21.54,-99999.0,20.33,17.67,25.0,-99999.0,24.98,-99999.0,9.8,24.98,24.75
66,1998-04-04 12:00:00+00:00,25.0,-99999.0,23.71,21.48,-99999.0,20.43,17.45,25.01,-99999.0,24.98,-99999.0,9.79,24.96,24.76
67,1998-04-05 12:00:00+00:00,25.02,-99999.0,23.77,21.56,-99999.0,20.24,17.5,25.03,-99999.0,24.99,-99999.0,9.66,24.95,24.72
68,1998-04-06 12:00:00+00:00,25.05,-99999.0,23.54,21.6,-99999.0,20.08,17.31,25.07,-99999.0,25.03,-99999.0,9.46,24.97,24.74
69,1998-04-07 12:00:00+00:00,25.08,-99999.0,23.64,21.71,-99999.0,20.06,17.48,25.09,-99999.0,25.05,-99999.0,9.45,24.97,24.66
70,1998-04-08 12:00:00+00:00,25.04,-99999.0,23.29,21.66,-99999.0,19.84,17.29,25.07,-99999.0,25.04,-99999.0,9.54,24.97,24.53
71,1998-04-09 12:00:00+00:00,25.03,-99999.0,23.13,21.57,-99999.0,19.97,17.34,25.06,-99999.0,25.04,-99999.0,9.48,24.95,24.5
72,1998-04-10 12:00:00+00:00,25.07,-99999.0,22.54,21.41,-99999.0,19.88,17.24,25.07,-99999.0,25.04,-99999.0,9.52,24.95,24.28
73,1998-04-11 12:00:00+00:00,25.09,-99999.0,22.52,21.24,-99999.0,19.61,17.43,25.09,-99999.0,25.06,-99999.0,9.42,24.97,24.17
74,1998-04-12 12:00:00+00:00,25.09,-99999.0,22.47,21.13,-99999.0,19.62,17.41,25.1,-99999.0,25.06,-99999.0,9.48,24.95,23.85
