,datahora,t_1,t_10,t_100,t_120,t_13,t_140,t_180,t_20,t_300,t_40,t_5,t_500,t_60,t_80
0,2005-09-01 12:00:00+00:00,24.42,-99999.0,24.0,23.25,-99999.0,19.96,16.91,-99999.0,14.66,24.35,-99999.0,10.69,24.3,24.15
1,2005-09-02 12:00:00+00:00,24.39,-99999.0,24.26,23.2,-99999.0,20.52,17.03,24.36,14.71,24.35,-99999.0,10.64,24.34,24.33
2,2005-09-03 12:00:00+00:00,24.41,-99999.0,24.34,24.13,-99999.0,21.05,17.23,24.39,14.74,24.37,-99999.0,10.54,24.36,24.36
3,2005-09-04 12:00:00+00:00,24.36,-99999.0,24.31,23.75,-99999.0,21.36,17.56,24.34,14.73,24.34,-99999.0,10.46,24.33,24.34
4,2005-09-05 12:00:00+00:00,24.39,-99999.0,24.32,23.55,-99999.0,21.65,17.86,24.36,14.68,24.35,-99999.0,10.33,24.34,24.34
5,2005-09-06 12:00:00+00:00,24.54,-99999.0,24.27,23.95,-99999.0,21.94,18.2,24.31,14.62,24.3,-99999.0,10.14,24.3,24.3
6,2005-09-07 12:00:00+00:00,24.47,-99999.0,24.13,24.07,-99999.0,22.53,18.36,24.33,14.61,24.29,-99999.0,9.88,24.24,24.2
7,2005-09-08 12:00:00+00:00,24.63,-99999.0,24.19,23.98,-99999.0,21.75,18.5,24.4,14.54,24.38,-99999.0,9.73,24.35,24.32
8,2005-09-09 12:00:00+00:00,24.44,-99999.0,23.91,23.58,-99999.0,21.79,18.74,24.4,14.44,24.36,-99999.0,9.64,24.28,24.18
9,2005-09-10 12:00:00+00:00,24.09,-99999.0,23.77,23.63,-99999.0,22.31,19.15,24.09,14.4,24.09,-99999.0,9.43,24.07,24.01
10,2005-09-11 12:00:00+00:00,23.94,-99999.0,23.91,23.83,-99999.0,22.83,19.27,23.94,14.51,23.95,-99999.0,9.29,23.94,23.94
11,2005-09-12 12:00:00+00:00,24.23,-99999.0,24.14,23.99,-99999.0,22.93,19.49,24.2,14.34,24.2,-99999.0,9.2,24.19,24.18
12,2005-09-13 12:00:00+00:00,24.43,-99999.0,24.3,23.9,-99999.0,22.32,19.51,24.31,14.35,24.31,-99999.0,9.09,24.3,24.31
13,2005-09-14 12:00:00+00:00,24.38,-99999.0,23.97,23.83,-99999.0,22.98,19.62,24.24,14.3,24.16,-99999.0,9.16,24.12,24.08
14,2005-09-15 12:00:00+00:00,24.36,-99999.0,23.94,23.85,-99999.0,23.64,19.54,24.23,14.36,24.18,-99999.0,9.04,24.13,24.06
15,2005-09-16 12:00:00+00:00,24.56,-99999.0,24.2,23.92,-99999.0,22.63,19.11,24.38,14.38,24.37,-99999.0,8.99,24.36,24.34
16,2005-09-17 12:00:00+00:00,24.71,-99999.0,23.79,23.57,-99999.0,21.76,18.8,24.31,14.26,24.21,-99999.0,9.14,24.09,23.89
17,2005-09-18 12:00:00+00:00,24.23,-99999.0,23.79,23.68,-99999.0,22.5,19.12,24.1,14.25,23.93,-99999.0,9.25,23.86,23.81
18,2005-09-19 12:00:00+00:00,24.1,-99999.0,23.85,23.81,-99999.0,23.41,19.27,24.06,14.59,24.03,-99999.0,9.29,23.95,23.88
19,2005-09-20 12:00:00+00:00,24.2,-99999.0,23.94,23.96,-99999.0,23.92,19.8,24.07,14.51,24.06,-99999.0,9.04,24.0,23.96
20,2005-09-21 12:00:00+00:00,24.08,-99999.0,23.92,23.93,-99999.0,23.9,20.23,24.06,14.56,24.04,-99999.0,9.02,23.99,23.93
21,2005-09-22 12:00:00+00:00,24.33,-99999.0,23.9,23.9,-99999.0,23.9,20.41,24.07,14.46,24.06,-99999.0,9.0,24.0,23.94
