,datahora,t_1,t_10,t_100,t_120,t_13,t_140,t_180,t_20,t_300,t_40,t_5,t_500,t_60,t_80
0,2006-06-28 12:00:00+00:00,24.32,23.84,16.2,15.59,-99999.0,15.2,14.44,20.03,10.14,18.52,-99999.0,7.22,17.7,16.82
1,2006-06-29 12:00:00+00:00,24.18,23.8,15.96,15.51,22.47,15.16,14.39,20.0,10.1,18.47,-99999.0,7.18,17.35,16.59
2,2006-06-30 12:00:00+00:00,24.18,24.12,15.99,15.46,23.59,15.08,14.24,20.81,10.13,18.54,-99999.0,7.26,17.53,16.71
3,2006-07-01 12:00:00+00:00,24.29,24.24,15.81,15.43,23.96,15.01,14.38,21.03,10.31,18.26,-99999.0,7.22,17.32,16.49
4,2006-07-02 12:00:00+00:00,24.37,23.51,16.15,15.59,22.3,15.05,14.29,20.36,10.18,18.58,-99999.0,7.2,17.78,16.9
5,2006-07-03 12:00:00+00:00,24.29,24.03,15.9,15.4,22.6,14.98,14.35,20.12,10.39,18.28,-99999.0,7.31,17.09,16.49
6,2006-07-04 12:00:00+00:00,24.32,24.21,15.83,15.35,23.71,15.0,14.34,20.69,10.23,18.34,-99999.0,7.18,17.16,16.44
7,2006-07-05 12:00:00+00:00,24.21,-99999.0,15.9,15.49,23.39,15.15,14.46,20.57,10.38,18.4,-99999.0,7.3,17.32,16.48
8,2006-07-06 12:00:00+00:00,24.12,-99999.0,15.71,15.23,23.19,14.86,14.15,20.21,10.29,18.15,-99999.0,7.32,16.88,16.23
9,2006-07-07 12:00:00+00:00,23.95,-99999.0,15.76,15.31,23.3,14.9,14.32,20.62,10.26,17.93,-99999.0,7.25,17.03,16.26
10,2006-07-08 12:00:00+00:00,23.72,-99999.0,15.74,15.33,22.9,15.01,14.34,21.12,10.54,18.18,-99999.0,7.34,17.12,16.35
11,2006-07-09 12:00:00+00:00,23.8,-99999.0,15.61,15.22,23.7,14.95,14.22,23.19,10.2,18.35,-99999.0,7.3,16.98,16.22
12,2006-07-10 12:00:00+00:00,23.84,-99999.0,15.66,15.24,23.81,14.94,14.34,22.31,10.5,18.07,-99999.0,7.32,16.87,16.28
13,2006-07-11 12:00:00+00:00,23.83,-99999.0,15.59,15.24,23.78,14.93,14.2,22.6,10.43,18.63,-99999.0,7.36,17.05,16.26
14,2006-07-12 12:00:00+00:00,23.85,-99999.0,15.5,15.2,23.83,14.89,14.14,22.18,10.21,18.25,-99999.0,7.32,16.88,16.08
15,2006-07-13 12:00:00+00:00,23.89,-99999.0,15.64,15.29,23.9,14.97,14.21,23.31,10.37,18.09,-99999.0,7.31,17.0,16.12
16,2006-07-14 12:00:00+00:00,23.69,-99999.0,15.6,15.26,23.66,14.98,14.21,21.34,10.47,17.75,-99999.0,7.26,16.87,16.14
17,2006-07-15 12:00:00+00:00,23.57,-99999.0,15.5,15.2,23.51,14.9,14.03,22.14,10.23,18.16,-99999.0,7.37,16.77,15.88
18,2006-07-16 12:00:00+00:00,23.58,-99999.0,15.52,15.18,23.49,14.84,14.1,22.05,10.27,17.89,-99999.0,7.26,16.79,15.97
19,2006-07-17 12:00:00+00:00,23.54,-99999.0,15.48,15.18,23.55,14.85,14.19,23.31,10.36,17.88,-99999.0,7.25,16.51,15.9
20,2006-07-18 12:00:00+00:00,23.6,-99999.0,15.57,15.2,23.56,14.82,14.0,23.48,10.19,17.93,-99999.0,7.28,16.72,16.01
