datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
1973-01-01 12:00:00+00:00,Estado do Ceará,98.7,110.5,11.9
1973-02-01 12:00:00+00:00,Estado do Ceará,127.1,130.3,2.5
1973-03-01 12:00:00+00:00,Estado do Ceará,206.2,225.4,9.3
1973-04-01 12:00:00+00:00,Estado do Ceará,184.3,323.2,75.4
1973-05-01 12:00:00+00:00,Estado do Ceará,89.9,131.1,45.9
1973-06-01 12:00:00+00:00,Estado do Ceará,37.5,89.1,137.8
1973-07-01 12:00:00+00:00,Estado do Ceará,15.4,53.5,247.7
1973-08-01 12:00:00+00:00,Estado do Ceará,4.9,12.5,154.8
1973-09-01 12:00:00+00:00,Estado do Ceará,2.3,14.1,517.3
1973-10-01 12:00:00+00:00,Estado do Ceará,3.1,12.6,303.2
1973-11-01 12:00:00+00:00,Estado do Ceará,6.3,3.5,-44.4
1973-12-01 12:00:00+00:00,Estado do Ceará,29.2,27.8,-4.7
1974-01-01 12:00:00+00:00,Estado do Ceará,98.7,234.1,137.1
1974-02-01 12:00:00+00:00,Estado do Ceará,118.6,188.9,59.3
1974-03-01 12:00:00+00:00,Estado do Ceará,203.4,334.2,64.3
1974-04-01 12:00:00+00:00,Estado do Ceará,188.0,427.1,127.2
1974-05-01 12:00:00+00:00,Estado do Ceará,90.6,246.0,171.5
1974-06-01 12:00:00+00:00,Estado do Ceará,37.5,54.3,44.8
1974-07-01 12:00:00+00:00,Estado do Ceará,15.4,14.1,-8.1
1974-08-01 12:00:00+00:00,Estado do Ceará,4.9,2.5,-49.3
1974-09-01 12:00:00+00:00,Estado do Ceará,2.2,12.9,488.5
1974-10-01 12:00:00+00:00,Estado do Ceará,3.9,8.6,118.7
1974-11-01 12:00:00+00:00,Estado do Ceará,5.8,7.5,29.8
1974-12-01 12:00:00+00:00,Estado do Ceará,31.6,44.8,41.6
1975-01-01 12:00:00+00:00,Estado do Ceará,98.7,82.4,-16.5
1975-02-01 12:00:00+00:00,Estado do Ceará,118.6,133.1,12.2
1975-03-01 12:00:00+00:00,Estado do Ceará,203.4,253.7,24.7
1975-04-01 12:00:00+00:00,Estado do Ceará,188.0,168.1,-10.6
1975-05-01 12:00:00+00:00,Estado do Ceará,90.6,183.1,102.2
1975-06-01 12:00:00+00:00,Estado do Ceará,37.5,80.4,114.4
1975-07-01 12:00:00+00:00,Estado do Ceará,15.4,58.0,277.6
1975-08-01 12:00:00+00:00,Estado do Ceará,4.9,7.7,57.3
1975-09-01 12:00:00+00:00,Estado do Ceará,2.2,7.7,248.9
1975-10-01 12:00:00+00:00,Estado do Ceará,3.9,2.2,-43.4
1975-11-01 12:00:00+00:00,Estado do Ceará,5.8,4.5,-21.2
1975-12-01 12:00:00+00:00,Estado do Ceará,31.6,44.7,41.3
1976-01-01 12:00:00+00:00,Estado do Ceará,98.7,35.0,-64.6
1976-02-01 12:00:00+00:00,Estado do Ceará,118.6,199.4,68.1
1976-03-01 12:00:00+00:00,Estado do Ceará,203.4,197.9,-2.7
1976-04-01 12:00:00+00:00,Estado do Ceará,188.0,127.7,-32.1
1976-05-01 12:00:00+00:00,Estado do Ceará,90.6,27.7,-69.4
1976-06-01 12:00:00+00:00,Estado do Ceará,37.5,11.9,-68.4
1976-07-01 12:00:00+00:00,Estado do Ceará,15.4,3.9,-74.5
1976-08-01 12:00:00+00:00,Estado do Ceará,4.9,3.3,-31.8
