datahora,Macrorregioes,Normal(mm),Observado(mm),Desvio(%)
1973-01-01 12:00:00+00:00,Cariri,148.3,103.8,-30.0
1973-01-01 12:00:00+00:00,Ibiapaba,108.5,176.7,62.9
1973-01-01 12:00:00+00:00,Jaguaribana,83.6,95.0,13.5
1973-01-01 12:00:00+00:00,Litoral De Fortaleza,97.2,112.7,15.9
1973-01-01 12:00:00+00:00,Litoral De Pecem,88.1,128.9,46.3
1973-01-01 12:00:00+00:00,Litoral Norte,111.0,203.0,82.9
1973-01-01 12:00:00+00:00,Macico De Baturite,95.9,93.1,-2.9
1973-01-01 12:00:00+00:00,Sertao Central E Inhamuns,88.1,73.1,-17.0
1973-02-01 12:00:00+00:00,Cariri,166.8,94.7,-43.2
1973-02-01 12:00:00+00:00,Ibiapaba,145.7,162.6,11.6
1973-02-01 12:00:00+00:00,Jaguaribana,114.5,100.0,-12.7
1973-02-01 12:00:00+00:00,Litoral De Fortaleza,145.8,245.5,68.4
1973-02-01 12:00:00+00:00,Litoral De Pecem,129.4,193.3,49.4
1973-02-01 12:00:00+00:00,Litoral Norte,161.2,230.6,43.1
1973-02-01 12:00:00+00:00,Macico De Baturite,126.8,168.4,32.8
1973-02-01 12:00:00+00:00,Sertao Central E Inhamuns,105.3,87.9,-16.5
1973-03-01 12:00:00+00:00,Cariri,218.4,181.7,-16.8
1973-03-01 12:00:00+00:00,Ibiapaba,234.8,240.1,2.3
1973-03-01 12:00:00+00:00,Jaguaribana,193.7,247.3,27.7
1973-03-01 12:00:00+00:00,Litoral De Fortaleza,252.6,327.1,29.5
1973-03-01 12:00:00+00:00,Litoral De Pecem,233.7,319.3,36.6
1973-03-01 12:00:00+00:00,Litoral Norte,267.2,376.1,40.8
1973-03-01 12:00:00+00:00,Macico De Baturite,212.0,242.3,14.3
1973-03-01 12:00:00+00:00,Sertao Central E Inhamuns,174.1,158.8,-8.8
1973-04-01 12:00:00+00:00,Cariri,173.7,351.2,102.1
1973-04-01 12:00:00+00:00,Ibiapaba,205.0,399.8,95.0
1973-04-01 12:00:00+00:00,Jaguaribana,180.3,308.3,71.0
1973-04-01 12:00:00+00:00,Litoral De Fortaleza,259.3,411.8,58.9
1973-04-01 12:00:00+00:00,Litoral De Pecem,206.4,357.1,73.0
1973-04-01 12:00:00+00:00,Litoral Norte,237.2,387.8,63.5
1973-04-01 12:00:00+00:00,Macico De Baturite,217.4,314.4,44.6
1973-04-01 12:00:00+00:00,Sertao Central E Inhamuns,153.9,274.3,78.3
1973-05-01 12:00:00+00:00,Cariri,63.6,83.8,31.7
1973-05-01 12:00:00+00:00,Ibiapaba,95.5,135.9,42.3
1973-05-01 12:00:00+00:00,Jaguaribana,100.3,148.3,47.8
1973-05-01 12:00:00+00:00,Litoral De Fortaleza,148.4,210.6,41.9
1973-05-01 12:00:00+00:00,Litoral De Pecem,111.0,210.1,89.2
1973-05-01 12:00:00+00:00,Litoral Norte,119.3,168.3,41.1
1973-05-01 12:00:00+00:00,Macico De Baturite,136.5,269.3,97.3
1973-05-01 12:00:00+00:00,Sertao Central E Inhamuns,69.6,95.1,36.7
1973-06-01 12:00:00+00:00,Cariri,19.4,80.7,315.8
1973-06-01 12:00:00+00:00,Ibiapaba,32.5,88.3,171.7
1973-06-01 12:00:00+00:00,Jaguaribana,43.4,112.0,158.1
1973-06-01 12:00:00+00:00,Litoral De Fortaleza,89.4,179.2,100.5
1973-06-01 12:00:00+00:00,Litoral De Pecem,53.8,143.4,166.6
1973-06-01 12:00:00+00:00,Litoral Norte,36.6,79.9,118.2
1973-06-01 12:00:00+00:00,Macico De Baturite,81.9,145.0,76.9
1973-06-01 12:00:00+00:00,Sertao Central E Inhamuns,29.2,62.7,115.1
1973-07-01 12:00:00+00:00,Cariri,10.4,54.1,418.8
1973-07-01 12:00:00+00:00,Ibiapaba,11.9,67.6,466.5
1973-07-01 12:00:00+00:00,Jaguaribana,18.1,47.6,162.8
1973-07-01 12:00:00+00:00,Litoral De Fortaleza,33.4,102.4,206.7
1973-07-01 12:00:00+00:00,Litoral De Pecem,21.8,80.4,268.6
1973-07-01 12:00:00+00:00,Litoral Norte,11.7,72.9,524.6
1973-07-01 12:00:00+00:00,Macico De Baturite,33.7,71.5,112.2
1973-07-01 12:00:00+00:00,Sertao Central E Inhamuns,12.9,37.9,194.2
1973-08-01 12:00:00+00:00,Cariri,3.4,17.7,415.5
1973-08-01 12:00:00+00:00,Ibiapaba,2.7,6.9,150.6
1973-08-01 12:00:00+00:00,Jaguaribana,6.7,6.5,-3.2
1973-08-01 12:00:00+00:00,Litoral De Fortaleza,10.1,19.6,92.8
1973-08-01 12:00:00+00:00,Litoral De Pecem,4.2,7.6,80.8
1973-08-01 12:00:00+00:00,Litoral Norte,2.2,15.5,621.2
1973-08-01 12:00:00+00:00,Macico De Baturite,12.9,12.9,-0.1
1973-08-01 12:00:00+00:00,Sertao Central E Inhamuns,4.9,13.8,182.4
1973-09-01 12:00:00+00:00,Cariri,5.7,12.6,122.0
1973-09-01 12:00:00+00:00,Ibiapaba,1.2,11.3,862.7
1973-09-01 12:00:00+00:00,Jaguaribana,1.4,8.4,496.1
1973-09-01 12:00:00+00:00,Litoral De Fortaleza,6.2,14.1,126.3
1973-09-01 12:00:00+00:00,Litoral De Pecem,2.0,7.4,278.3
1973-09-01 12:00:00+00:00,Litoral Norte,0.5,5.0,857.6
1973-09-01 12:00:00+00:00,Macico De Baturite,4.6,9.0,95.4
1973-09-01 12:00:00+00:00,Sertao Central E Inhamuns,1.9,21.5,1011.5
1973-10-01 12:00:00+00:00,Cariri,11.1,41.6,275.2
1973-10-01 12:00:00+00:00,Ibiapaba,1.1,18.0,1470.0
1973-10-01 12:00:00+00:00,Jaguaribana,1.5,5.0,238.8
1973-10-01 12:00:00+00:00,Litoral De Fortaleza,3.7,9.1,146.0
1973-10-01 12:00:00+00:00,Litoral De Pecem,1.1,1.1,-0.6
1973-10-01 12:00:00+00:00,Litoral Norte,0.4,5.4,1206.3
1973-10-01 12:00:00+00:00,Macico De Baturite,3.8,6.4,69.1
1973-10-01 12:00:00+00:00,Sertao Central E Inhamuns,3.1,12.1,290.3
1973-11-01 12:00:00+00:00,Cariri,22.5,8.8,-60.9
1973-11-01 12:00:00+00:00,Ibiapaba,7.3,2.2,-69.4
1973-11-01 12:00:00+00:00,Jaguaribana,3.1,0.7,-78.3
1973-11-01 12:00:00+00:00,Litoral De Fortaleza,3.8,7.3,90.5
1973-11-01 12:00:00+00:00,Litoral De Pecem,2.0,1.7,-18.0
1973-11-01 12:00:00+00:00,Litoral Norte,1.5,0.4,-74.2
1973-11-01 12:00:00+00:00,Macico De Baturite,5.2,5.5,7.4
1973-11-01 12:00:00+00:00,Sertao Central E Inhamuns,5.4,3.4,-36.9
1973-12-01 12:00:00+00:00,Cariri,66.1,59.9,-9.4
1973-12-01 12:00:00+00:00,Ibiapaba,29.7,32.7,10.2
1973-12-01 12:00:00+00:00,Jaguaribana,18.6,20.8,11.3
1973-12-01 12:00:00+00:00,Litoral De Fortaleza,24.1,16.4,-32.0
1973-12-01 12:00:00+00:00,Litoral De Pecem,16.8,19.8,17.9
1973-12-01 12:00:00+00:00,Litoral Norte,18.7,19.7,5.4
1973-12-01 12:00:00+00:00,Macico De Baturite,21.7,45.2,107.9
1973-12-01 12:00:00+00:00,Sertao Central E Inhamuns,29.7,24.7,-17.0
1974-01-01 12:00:00+00:00,Cariri,147.7,214.3,45.1
1974-01-01 12:00:00+00:00,Ibiapaba,109.5,208.6,90.5
1974-01-01 12:00:00+00:00,Jaguaribana,84.7,247.7,192.5
1974-01-01 12:00:00+00:00,Litoral De Fortaleza,96.2,368.7,283.3
1974-01-01 12:00:00+00:00,Litoral De Pecem,87.5,233.5,166.9
1974-01-01 12:00:00+00:00,Litoral Norte,111.0,231.1,108.2
1974-01-01 12:00:00+00:00,Macico De Baturite,96.9,335.5,246.1
1974-01-01 12:00:00+00:00,Sertao Central E Inhamuns,87.6,223.8,155.4
1974-02-01 12:00:00+00:00,Cariri,157.7,336.7,113.5
1974-02-01 12:00:00+00:00,Ibiapaba,136.6,176.0,28.8
1974-02-01 12:00:00+00:00,Jaguaribana,105.7,168.4,59.2
1974-02-01 12:00:00+00:00,Litoral De Fortaleza,133.7,192.4,43.9
1974-02-01 12:00:00+00:00,Litoral De Pecem,122.9,215.3,75.2
1974-02-01 12:00:00+00:00,Litoral Norte,152.4,215.6,41.4
1974-02-01 12:00:00+00:00,Macico De Baturite,116.8,177.2,51.8
1974-02-01 12:00:00+00:00,Sertao Central E Inhamuns,97.7,150.9,54.5
1974-03-01 12:00:00+00:00,Cariri,216.3,307.3,42.1
1974-03-01 12:00:00+00:00,Ibiapaba,230.5,306.8,33.1
1974-03-01 12:00:00+00:00,Jaguaribana,189.5,291.8,54.0
1974-03-01 12:00:00+00:00,Litoral De Fortaleza,250.8,424.1,69.1
1974-03-01 12:00:00+00:00,Litoral De Pecem,231.5,428.8,85.3
1974-03-01 12:00:00+00:00,Litoral Norte,264.2,439.1,66.2
1974-03-01 12:00:00+00:00,Macico De Baturite,209.5,364.3,73.9
1974-03-01 12:00:00+00:00,Sertao Central E Inhamuns,171.8,310.7,80.9
